DATE,DKL
2000-01-04,87.018
2000-01-05,16.845
2000-01-06,94.118
2000-01-07,75.059
2000-01-10,27.379
2000-01-11,-58.986
2000-01-12,-53.514
2000-01-13,-20.717
2000-01-14,-26.059
2000-01-17,74.135
2000-01-18,-14.336
2000-01-19,46.691
2000-01-20,55.854
2000-01-21,2.977
2000-01-24,43.308
2000-01-25,-0.869
2000-01-26,8.698
2000-01-27,26.803
2000-01-28,43.67
2000-02-14,95.366
2000-02-15,-52.818
2000-02-16,27.427
2000-02-17,-44.959
2000-02-18,45.943
2000-02-21,20.261
2000-02-22,-59.651
2000-02-23,-28.909
2000-02-24,71.329
2000-02-25,-0.895
2000-02-28,88.748
2000-02-29,-9.529
2000-03-01,-1.686
2000-03-02,21.244
2000-03-03,24.796
2000-03-06,-61.17
2000-03-07,59.922
2000-03-08,29.898
2000-03-09,13.476
2000-03-10,-34.25
2000-03-13,64.33
2000-03-14,10.557
2000-03-15,15.124
2000-03-16,-63.066
2000-03-17,91.285
2000-03-20,92.487
2000-03-21,4.137
2000-03-22,13.462
2000-03-23,66.029
2000-03-24,-36.525
2000-03-27,81.763
2000-03-28,5.605
2000-03-29,-25.935
2000-03-30,47.819
2000-03-31,-7.871
2000-04-03,-12.918
2000-04-04,-44.369
2000-04-05,50.647
2000-04-06,67.89
2000-04-07,21.918
2000-04-10,30.465
2000-04-11,-24.547
2000-04-12,3.979
2000-04-13,56.846
2000-04-14,8.506
2000-04-17,-34.271
2000-04-18,33.324
2000-04-19,27.536
2000-04-20,28.484
2000-04-21,-20.568
2000-04-24,6.534
2000-04-25,-5.897
2000-04-26,-10.109
2000-04-27,-53.076
2000-04-28,68.427
2000-05-08,15.073
2000-05-09,-30.273
2000-05-10,-68.802
2000-05-11,-31.125
2000-05-12,7.313
2000-05-15,-23.513
2000-05-16,67.655
2000-05-17,-14.497
2000-05-18,85.535
2000-05-19,53.819
2000-05-22,60.446
2000-05-23,7.536
2000-05-24,33.812
2000-05-25,35.997
2000-05-26,-4.966
2000-05-29,23.137
2000-05-30,-32.921
2000-05-31,53.859
2000-06-01,18.103
2000-06-02,33.646
2000-06-05,-52.923
2000-06-06,44.604
2000-06-07,11.383
2000-06-08,2.599
2000-06-09,-28.82
2000-06-12,30.984
2000-06-13,51.383
2000-06-14,0.554
2000-06-15,22.845
2000-06-16,-22.761
2000-06-19,0.537
2000-06-20,-28.177
2000-06-21,51.91
2000-06-22,12.735
2000-06-23,52.133
2000-06-26,29.51
2000-06-27,12.511
