DATE,UDV,GMS,VOL
2000-01-04,87.018,6221929,7150161
2000-01-05,16.845,1788670,10618637
2000-01-06,94.118,11961803,12709359
2000-01-07,75.059,18739960,24967110
2000-01-10,27.379,6363930,23244190
2000-01-11,-58.986,-11397541,19322451
2000-01-12,-53.514,-8121313,15176099
2000-01-13,-20.717,-1972897,9522918
2000-01-14,-26.059,-2051591,7872861
2000-01-17,74.135,6037898,8144497
2000-01-18,-14.336,-1347271,9397990
2000-01-19,46.691,4137862,8862165
2000-01-20,55.854,6914884,12380312
2000-01-21,2.977,517453,17379108
2000-01-24,43.308,8031298,18544810
2000-01-25,-0.869,-145757,16779517
2000-01-26,8.698,1097089,12613635
2000-01-27,26.803,5069631,18914548
2000-01-28,43.67,10255909,23485262
2000-02-14,95.366,26495190,27782544
2000-02-15,-52.818,-21389680,40496576
2000-02-16,27.427,10482086,38218576
2000-02-17,-44.959,-23470730,52205107
2000-02-18,45.943,13751599,29931885
2000-02-21,20.261,7333661,36196148
2000-02-22,-59.651,-17880971,29975742
2000-02-23,-28.909,-6622187,22906887
2000-02-24,71.329,13064905,18316317
2000-02-25,-0.895,-196559,21962894
2000-02-28,88.748,24892286,28048406
2000-02-29,-9.529,-3107175,32608547
2000-03-01,-1.686,-483804,28696195
2000-03-02,21.244,5267315,24794653
2000-03-03,24.796,7463761,30100678
2000-03-06,-61.17,-19323634,31589812
2000-03-07,59.922,12650290,21111332
2000-03-08,29.898,6119877,20469264
2000-03-09,13.476,3077075,22833712
2000-03-10,-34.25,-6806678,19873532
2000-03-13,64.33,11514105,17898534
2000-03-14,10.557,2649597,25097930
2000-03-15,15.124,3209114,21218148
2000-03-16,-63.066,-12543153,19888944
2000-03-17,91.285,16546703,18126499
2000-03-20,92.487,21911733,23691810
2000-03-21,4.137,1037671,25082989
2000-03-22,13.462,2945694,21881244
2000-03-23,66.029,16175394,24497325
2000-03-24,-36.525,-11229206,30744308
2000-03-27,81.763,23253961,28440856
2000-03-28,5.605,1883276,33598055
2000-03-29,-25.935,-6915583,26665115
2000-03-30,47.819,11496409,24041307
2000-03-31,-7.871,-2016785,25624031
2000-04-03,-12.918,-2975471,23034356
2000-04-04,-44.369,-8669143,19538786
2000-04-05,50.647,8197508,16185552
2000-04-06,67.89,13854904,20407742
2000-04-07,21.918,5337375,24352020
2000-04-10,30.465,7380099,24225021
2000-04-11,-24.547,-5110376,20818677
2000-04-12,3.979,730993,18372138
2000-04-13,56.846,12515121,22015917
2000-04-14,8.506,2112448,24833448
2000-04-17,-34.271,-8674131,25310657
2000-04-18,33.324,5862585,17592702
2000-04-19,27.536,4995487,18141708
2000-04-20,28.484,6061318,21280080
2000-04-21,-20.568,-2292683,11146745
2000-04-24,6.534,1298749,19877086
2000-04-25,-5.897,-896996,15210022
2000-04-26,-10.109,-1443511,14279356
2000-04-27,-53.076,-8691898,16376302
2000-04-28,68.427,10749371,15709268
2000-05-08,15.073,1972694,13087350
2000-05-09,-30.273,-3890011,12849948
2000-05-10,-68.802,-8472898,12314856
2000-05-11,-31.125,-3530124,11341940
2000-05-12,7.313,736417,10069809
2000-05-15,-23.513,-2167419,9218039
2000-05-16,67.655,5076343,7503304
2000-05-17,-14.497,-1152785,7951808
2000-05-18,85.535,9723916,11368352
2000-05-19,53.819,8311501,15443338
2000-05-22,60.446,12395385,20506579
2000-05-23,7.536,1276933,16943631
2000-05-24,33.812,7070083,20910266
2000-05-25,35.997,8131380,22589285
2000-05-26,-4.966,-1143882,23034770
2000-05-29,23.137,5530583,23903772
2000-05-30,-32.921,-7000293,21263606
2000-05-31,53.859,10772903,20002190
2000-06-01,18.103,3573921,19742444
2000-06-02,33.646,8108529,24099314
2000-06-05,-52.923,-15750762,29761609
2000-06-06,44.604,9824417,22025988
2000-06-07,11.383,2338939,20547828
2000-06-08,2.599,549111,21130815
2000-06-09,-28.82,-5589123,19393429
2000-06-12,30.984,5080323,16396737
2000-06-13,51.383,9232257,17967663
2000-06-14,0.554,120687,21802793
2000-06-15,22.845,4202497,18396020
2000-06-16,-22.761,-4486589,19711548
2000-06-19,0.537,87330,16265058
2000-06-20,-28.177,-3777898,13407818
2000-06-21,51.91,5811283,11194836
2000-06-22,12.735,1661472,13046666
2000-06-23,52.133,8706965,16701405
2000-06-26,29.51,5582922,18918908
2000-06-27,12.511,2250018,17984744
2000-06-28,8.233,1344528,16331405
2000-06-29,-14.471,-2524156,17443441
2000-06-30,-20.273,-3612632,17819646
2000-07-03,-10.416,-1703775,16357734
2000-07-04,50.797,5626731,11076958
2000-07-05,-0.807,-88317,10950272
2000-07-06,1.46,169262,11595536
2000-07-07,69.543,9488157,13643600
2000-07-10,54.279,10328695,19028861
2000-07-11,2.461,453616,18429017
2000-07-12,41.154,7661185,18615867
2000-07-13,-18.429,-3566403,19351922
2000-07-14,37.709,7421633,19681304
2000-07-17,-6.262,-1275498,20369414
2000-07-18,35.13,5046442,14365172
2000-07-19,-4.349,-606524,13947373
2000-07-20,-0.117,-17339,14773540
2000-07-21,21.034,2984129,14186869
2000-07-24,-11.51,-1822635,15834739
2000-07-25,22.781,2953718,12965452
2000-07-26,43.139,6493001,15051238
2000-07-27,0.272,50962,18759465
2000-07-28,7.541,1263498,16754006
2000-07-31,19.801,3615331,18258422
2000-08-01,7.337,1009643,13761293
2000-08-02,12.944,1782252,13768459
2000-08-03,12.581,2191863,17422071
2000-08-04,-26.37,-4572120,17338642
2000-08-07,41.602,6553717,15753274
2000-08-08,25.323,3944132,15575026
2000-08-09,12.505,2209558,17669637
2000-08-10,-10.724,-1986484,18523392
2000-08-11,0.447,70826,15836761
2000-08-14,39.014,5861167,15023345
2000-08-15,-1.155,-159195,13778262
2000-08-16,18.87,2818186,14934749
2000-08-17,15.033,2264813,15066105
2000-08-18,10.444,1522123,14574569
2000-08-21,52.786,10348875,19605179
2000-08-22,-72.636,-12934476,17807288
2000-08-23,-11.419,-2995012,26229453
2000-08-24,31.332,5911804,18868279
2000-08-25,39.137,5772176,14748502
2000-08-28,34.953,5794798,16578680
2000-08-29,-0.097,-14798,15197767
2000-08-30,-43.675,-6899489,15797467
2000-08-31,-63.122,-11154565,17671459
2000-09-01,-7.606,-1059052,13923457
2000-09-04,43.268,5390000,12457135
2000-09-05,-53.075,-6214157,11708294
2000-09-06,-36.22,-4481335,12372622
2000-09-07,72.698,7362547,10127639
2000-09-08,5.216,478089,9165505
2000-09-11,11.339,1088419,9599141
2000-09-12,32.935,3020054,9169784
2000-09-13,25.728,2778972,10801165
2000-09-14,-7.201,-648504,9005464
2000-09-15,17.933,1452329,8098734
2000-09-18,-53.07,-4384597,8261920
2000-09-19,-54.161,-5830030,10764318
2000-09-20,58.31,5149038,8830514
2000-09-21,-32.501,-2491547,7666049
2000-09-22,-19.684,-1476798,7502477
2000-09-25,-33.637,-2046553,6084200
2000-09-26,12.986,891758,6866846
2000-09-27,73.003,4409218,6039788
2000-09-28,-49.367,-3111258,6302329
2000-09-29,71.389,4459511,6246809
2000-10-09,27.553,1870767,6789665
2000-10-10,62.21,5420888,8713856
2000-10-11,-11.213,-1022008,9114825
2000-10-12,2.571,250435,9739823
2000-10-13,-13.211,-1242505,9404789
2000-10-16,-14.109,-1152979,8171986
2000-10-17,20.8,1301788,6258679
2000-10-18,46.678,3762155,8059881
2000-10-19,-29.64,-2137566,7211816
2000-10-20,56.619,6188809,10930679
2000-10-23,40.608,4688092,11544758
2000-10-24,6.775,598590,8835816
2000-10-25,43.385,5412638,12475861
2000-10-26,-11.827,-1155820,9772958
2000-10-27,26.267,2413290,9187467
2000-10-30,27.725,3037060,10954281
2000-10-31,-19.367,-1922913,9928803
2000-11-01,61.571,5620282,9128174
2000-11-02,16.046,1764341,10995657
2000-11-03,-9.618,-921680,9583298
2000-11-06,24.135,2489011,10312812
2000-11-07,23.322,2128498,9126598
2000-11-08,33.63,3287830,9776427
2000-11-09,48.466,7000926,14445158
2000-11-10,26.03,4659883,17901839
2000-11-13,55.88,10170923,18201285
2000-11-14,29.378,4848006,16502161
2000-11-15,4.759,801227,16836515
2000-11-16,51.49,8572667,16649265
2000-11-17,-6.069,-966950,15931723
2000-11-20,30.008,4841034,16132336
2000-11-21,-18.53,-2700064,14571380
2000-11-22,64.659,9113812,14095121
2000-11-23,4.493,723375,16099333
2000-11-24,-80.319,-15864722,19752139
2000-11-27,41.867,5627176,13440732
2000-11-28,70.015,7790571,11127041
2000-11-29,-28.066,-3292786,11732462
2000-11-30,3.522,352602,10012774
2000-12-01,34.426,3565426,10356828
2000-12-04,36.883,4218452,11437328
2000-12-05,-14.094,-1480562,10505108
2000-12-06,-33.607,-4106061,12218045
2000-12-07,4.528,499318,11028176
2000-12-08,8.559,885668,10347478
2000-12-11,-53.088,-5333457,10046490
2000-12-12,67.306,7726765,11480108
2000-12-13,-7.263,-668316,9202209
2000-12-14,-25.283,-1904735,7533585
2000-12-15,-36.907,-2917334,7904642
2000-12-18,12.779,1177237,9212171
2000-12-19,-12.501,-1144814,9157776
2000-12-20,27.803,2883477,10371217
2000-12-21,1.698,194454,11448655
2000-12-22,-6.658,-755418,11345444
2000-12-25,-4.904,-582534,11879421
2000-12-26,28.365,3082542,10867360
2000-12-27,-37.593,-3788163,10076665
2000-12-28,1.417,135991,9597200
2000-12-29,44.658,4674244,10466815
2001-01-02,77.196,9747604,12627064
2001-01-03,41.584,7100316,17074621
2001-01-04,-10.023,-1466547,14632012
2001-01-05,37.429,5404344,14438791
2001-01-08,-27.297,-4598097,16844799
2001-01-09,-6.34,-747073,11783728
2001-01-10,75.092,10341151,13771286
2001-01-11,-17.37,-2670017,15371069
2001-01-12,-32.727,-4140398,12651383
2001-01-15,-89.193,-12323566,13816769
2001-01-16,68.979,7791874,11295947
2001-01-17,-22.41,-1787352,7975716
2001-01-18,19.434,1766330,9088723
2001-01-19,65.923,6496167,9854102
2001-02-05,-71.311,-6073501,8516914
2001-02-06,10.261,884689,8621755
2001-02-07,-36.438,-2217007,6084316
2001-02-08,-80.896,-6285178,7769475
2001-02-09,75.906,6442459,8487393
2001-02-12,20.87,1588261,7610221
2001-02-13,-6.027,-366177,6075796
2001-02-14,14.736,694033,4709835
2001-02-15,-55.015,-2639896,4798479
2001-02-16,-2.824,-192854,6828530
2001-02-19,62.472,3645292,5835072
2001-02-20,-33.532,-2395690,7144501
2001-02-21,-64.448,-5977699,9275274
2001-02-22,19.359,1244236,6427174
2001-02-23,63.388,4235730,6682181
2001-02-26,50.171,4131955,8235735
2001-02-27,15.664,1231354,7860995
2001-02-28,-13.321,-892999,6703630
2001-03-01,-6.702,-693345,10344645
2001-03-02,47.091,4662594,9901259
2001-03-05,-12.878,-1036725,8050459
2001-03-06,33.422,2768574,8283651
2001-03-07,11.887,1021206,8591201
2001-03-08,23.553,2054777,8723872
2001-03-09,-5.627,-693265,12321328
2001-03-12,13.88,1247138,8985328
2001-03-13,-27.962,-2214704,7920351
2001-03-14,78.589,6352772,8083557
2001-03-15,20.443,2122090,10380772
2001-03-16,1.437,143130,9961292
2001-03-19,49.048,5472691,11157865
2001-03-20,19.386,1996361,10298194
2001-03-21,39.336,4826663,12270321
2001-03-22,35.097,5717812,16291447
2001-03-23,-54.314,-8579318,15795828
2001-03-26,80.954,9827724,12139852
2001-03-27,23.031,3150198,13678302
2001-03-28,2.507,324350,12939978
